node_id,attr,A_value,B_value
21,Z,-26.25,52.5
21,X,52.5,12.5
21,Y,0.0,-117.5
17,X,185.833333,0.0
17,Y,-52.5,150.0
31,Z,26.25,0.0
31,X,-35.861069,42.5
31,Y,-0.0,-40.0
16,Z,52.5,-52.5
16,X,-41.407379,-8.425926
16,Y,-50.0,0.0
29,Z,52.5,35.0
29,X,-16.95369,52.5
29,Y,-77.697792,85.0
40,X,12.5,-3.362234
40,Y,-117.5,0.0
50,Z,52.5,26.25
50,X,42.5,45.0
50,Y,40.0,-52.5
3,Z,-0.0,0.0
3,X,0.0,47.5
3,Y,-150.0,5.0
44,Z,35.0,-35.0
10,Z,0.0,52.5
1,Z,52.5,26.25
1,X,47.5,37.5
1,Y,5.0,33.75
35,X,13.04631,-16.95369
35,Y,32.697792,77.697792
39,Z,52.5,26.25
39,X,12.5,37.5
39,Y,117.5,-33.75
0,X,52.5,185.833333
0,Y,-117.5,-52.5
26,Z,0.0,26.25
26,X,0.0,0.819465
26,Y,150.0,22.796688
45,Z,0.0,52.5
45,X,-3.362234,-46.95369
45,Y,0.0,10.197792
46,X,37.5,45.0
46,Y,33.75,52.5
5,Z,-52.5,52.5
5,X,152.5,47.5
5,Y,0.0,85.0
22,Z,26.25,52.5
22,X,0.819465,12.5
22,Y,22.796688,117.5
32,Z,0.0,2.752447
32,X,52.5,137.780468
32,Y,117.5,0.0
33,Z,52.5,-2.223549
33,X,42.5,-1.026667
33,Y,-40.0,0.0
11,Z,-0.0,52.5
11,X,-52.5,42.5
11,Y,-0.0,-17.5
23,X,17.5,152.5
23,Y,117.5,0.0
47,Z,26.25,-35.0
47,X,0.819465,119.166667
47,Y,-22.796688,-52.5
4,Z,52.5,0.0
4,X,-3.362234,52.5
4,Y,0.0,-117.5
19,Z,52.5,-0.0
19,X,13.04631,-52.5
19,Y,-32.697792,-0.0
37,Y,-40.0,-17.5
12,X,-46.95369,152.5
12,Y,10.197792,-0.0
28,Z,26.25,0.0
28,X,37.5,52.5
28,Y,-33.75,117.5
43,Z,-35.0,26.25
43,X,52.5,-35.861069
43,Y,-85.0,-0.0
2,Z,35.0,0.0
2,X,119.166667,-3.362234
2,Y,-52.5,0.0
7,Z,52.5,-0.0
7,X,47.5,0.0
7,Y,-85.0,-150.0
14,Z,-52.5,-26.25
14,X,17.5,52.5
14,Y,-117.5,0.0
13,Y,-17.5,40.0
41,X,42.5,185.833333
41,Y,-17.5,52.5
42,Z,-52.5,52.5
42,X,-8.425926,47.5
42,Y,0.0,-85.0
49,Z,52.5,35.0
49,X,152.5,52.5
49,Y,-0.0,-85.0
8,Z,-35.0,0.0
8,X,52.5,42.5
8,Y,85.0,40.0
24,Z,0.0,52.5
24,X,185.833333,-41.407379
24,Y,52.5,-50.0
27,Z,26.25,-52.5
27,X,45.0,17.5
27,Y,-52.5,117.5
9,Z,-35.0,35.0
9,Y,-52.5,52.5
18,Z,2.752447,52.5
18,X,137.780468,13.04631
18,Y,0.0,-32.697792
20,Z,35.0,26.25
20,X,52.5,0.819465
20,Y,85.0,-22.796688
6,X,119.166667,52.5
6,Y,52.5,85.0
38,Z,52.5,0.0
38,X,47.5,252.5
38,Y,85.0,-0.0
15,Z,0.0,-35.0
15,X,42.5,52.5
15,Y,40.0,-85.0
30,Y,77.697792,-77.697792
25,Z,0.0,35.0
25,X,252.5,119.166667
25,Y,-0.0,-52.5
48,Z,35.0,-52.5
48,X,52.5,17.5
48,Y,-85.0,-117.5
34,Z,-2.223549,52.5
34,X,-1.026667,13.04631
34,Y,0.0,32.697792
36,Z,26.25,52.5
36,X,45.0,42.5
36,Y,52.5,-40.0
